material_id,material_name,source_library,nd,Vd,PgF,material_type,available_in_dji,role_candidate,notes
dji_target:CDGM-ZEMAX202509:H-ZBAF5,H-ZBAF5,dji_target,1.671030,47.288963,UNKNOWN,glass,YES,rear_relay,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZBAF16,H-ZBAF16,dji_target,1.666720,48.421731,UNKNOWN,glass,YES,rear_relay,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZBAF20,H-ZBAF20,dji_target,1.701540,41.148468,UNKNOWN,glass,YES,rear_relay,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZBAF21,H-ZBAF21,dji_target,1.723410,37.991564,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZBAF50,H-ZBAF50,dji_target,1.658440,50.852265,UNKNOWN,glass,YES,rear_relay,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZBAF52,H-ZBAF52,dji_target,1.670030,47.195060,UNKNOWN,glass,YES,rear_relay,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZF1,H-ZF1,dji_target,1.647690,33.840317,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZF1A,H-ZF1A,dji_target,1.647690,33.887993,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZF2,H-ZF2,dji_target,1.672700,32.171186,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZF3,H-ZF3,dji_target,1.717360,29.499110,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZF4A,H-ZF4A,dji_target,1.728250,28.318797,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZF4AGT,H-ZF4AGT,dji_target,1.728250,28.318797,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZF5,H-ZF5,dji_target,1.740000,28.295649,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZF6,H-ZF6,dji_target,1.755200,27.530047,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:ZF6,ZF6,dji_target,1.755205,27.546239,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZF7LA,H-ZF7LA,dji_target,1.805180,25.456256,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZF7LAGT,H-ZF7LAGT,dji_target,1.805180,25.456256,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:ZF7,ZF7,dji_target,1.806277,25.380144,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:ZF7L,ZF7L,dji_target,1.805190,25.471232,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:ZF7LGT,ZF7LGT,dji_target,1.805190,25.471232,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:ZF7LTT,ZF7LTT,dji_target,1.805190,25.471232,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZF10,H-ZF10,dji_target,1.688930,31.160570,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZF11,H-ZF11,dji_target,1.698940,30.050450,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZF12,H-ZF12,dji_target,1.761820,26.607986,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZF13,H-ZF13,dji_target,1.784720,25.720045,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZF13GT,H-ZF13GT,dji_target,1.784720,25.720045,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZF39,H-ZF39,dji_target,1.666800,33.053728,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZF50,H-ZF50,dji_target,1.740770,27.760063,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZF52,H-ZF52,dji_target,1.846660,23.784497,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZF52GT,H-ZF52GT,dji_target,1.846660,23.784497,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZF52TT,H-ZF52TT,dji_target,1.846660,23.784497,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZF62,H-ZF62,dji_target,1.922860,20.879915,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZF62GT,H-ZF62GT,dji_target,1.922860,20.879915,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZF71,H-ZF71,dji_target,1.808100,22.698087,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZF71GT,H-ZF71GT,dji_target,1.808100,22.698087,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZF72A,H-ZF72A,dji_target,1.922860,18.895887,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZF72AGT,H-ZF72AGT,dji_target,1.922860,18.895887,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZF73,H-ZF73,dji_target,1.959060,17.472434,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZF73GT,H-ZF73GT,dji_target,1.959060,17.472434,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZF88,H-ZF88,dji_target,1.945950,17.941964,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZF88GT,H-ZF88GT,dji_target,1.945950,17.941964,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-LAF1,H-LAF1,dji_target,1.693620,49.193837,UNKNOWN,glass,YES,rear_relay,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-LAF2,H-LAF2,dji_target,1.717000,47.888609,UNKNOWN,glass,YES,rear_relay,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-LAF3B,H-LAF3B,dji_target,1.744000,44.900027,UNKNOWN,glass,YES,rear_relay,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-LAF4,H-LAF4,dji_target,1.749500,34.989266,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-LAF4GT,H-LAF4GT,dji_target,1.749500,34.989266,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-LAFL5,H-LAFL5,dji_target,1.753670,37.491665,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-LAF6LA,H-LAF6LA,dji_target,1.757000,47.711817,UNKNOWN,glass,YES,front_negative_high_index,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-LAF7,H-LAF7,dji_target,1.781790,37.092107,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-LAF10LA,H-LAF10LA,dji_target,1.788000,47.491731,UNKNOWN,glass,YES,front_negative_high_index,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-LAF50B,H-LAF50B,dji_target,1.772500,49.598996,UNKNOWN,glass,YES,front_negative_high_index,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-LAF51,H-LAF51,dji_target,1.700000,48.079839,UNKNOWN,glass,YES,rear_relay,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-LAF52,H-LAF52,dji_target,1.785900,44.187159,UNKNOWN,glass,YES,front_negative_high_index,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-LAF53,H-LAF53,dji_target,1.743300,49.221808,UNKNOWN,glass,YES,rear_relay,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-LAF54,H-LAF54,dji_target,1.799519,42.253294,UNKNOWN,glass,YES,front_negative_high_index,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-LAF55,H-LAF55,dji_target,1.762000,40.105472,UNKNOWN,glass,YES,front_negative_high_index,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-LAF62,H-LAF62,dji_target,1.720000,43.680739,UNKNOWN,glass,YES,rear_relay,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZLAF1,H-ZLAF1,dji_target,1.801660,44.263459,UNKNOWN,glass,YES,front_negative_high_index,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZLAF2A,H-ZLAF2A,dji_target,1.802790,46.761307,UNKNOWN,glass,YES,front_negative_high_index,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZLAF3,H-ZLAF3,dji_target,1.855449,36.598050,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZLAF4LA,H-ZLAF4LA,dji_target,1.910820,35.250340,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZLAF4LB,H-ZLAF4LB,dji_target,1.910820,35.282389,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZLAF50E,H-ZLAF50E,dji_target,1.804000,46.574487,UNKNOWN,glass,YES,front_negative_high_index,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZLAF50D,H-ZLAF50D,dji_target,1.804000,46.575016,UNKNOWN,glass,YES,front_negative_high_index,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZLAF51,H-ZLAF51,dji_target,1.804500,39.635248,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZLAF52A,H-ZLAF52A,dji_target,1.806100,41.016887,UNKNOWN,glass,YES,front_negative_high_index,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZLAF52,H-ZLAF52,dji_target,1.806099,40.945389,UNKNOWN,glass,YES,front_negative_high_index,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZLAF53B,H-ZLAF53B,dji_target,1.834000,37.210555,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZLAF53BGT,H-ZLAF53BGT,dji_target,1.834000,37.210555,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZLAF55D,H-ZLAF55D,dji_target,1.834810,42.725177,UNKNOWN,glass,YES,front_negative_high_index,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZLAF55C,H-ZLAF55C,dji_target,1.834810,42.711575,UNKNOWN,glass,YES,front_negative_high_index,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZLAF56B,H-ZLAF56B,dji_target,1.806100,33.268324,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZLAF66,H-ZLAF66,dji_target,1.801000,34.966919,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZLAF66GT,H-ZLAF66GT,dji_target,1.801000,34.966919,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZLAF68C,H-ZLAF68C,dji_target,1.883000,40.847465,UNKNOWN,glass,YES,front_negative_high_index,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZLAF68N,H-ZLAF68N,dji_target,1.883000,39.218200,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZLAF68NB,H-ZLAF68NB,dji_target,1.883000,39.235474,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZLAF69,H-ZLAF69,dji_target,1.816000,46.549300,UNKNOWN,glass,YES,front_negative_high_index,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZLAF69A,H-ZLAF69A,dji_target,1.816000,46.556066,UNKNOWN,glass,YES,front_negative_high_index,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZLAF71,H-ZLAF71,dji_target,1.850260,32.297288,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZLAF71AGT,H-ZLAF71AGT,dji_target,1.850260,32.216801,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZLAF73,H-ZLAF73,dji_target,1.881000,40.161331,UNKNOWN,glass,YES,front_negative_high_index,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZLAF75A,H-ZLAF75A,dji_target,1.903660,31.314970,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZLAF75B,H-ZLAF75B,dji_target,1.903660,31.418411,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZLAF75C,H-ZLAF75C,dji_target,1.903660,31.357126,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZLAF76,H-ZLAF76,dji_target,1.850130,30.055517,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZLAF76A,H-ZLAF76A,dji_target,1.850130,30.012319,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZLAF78B,H-ZLAF78B,dji_target,1.900690,37.050531,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZLAF89L,H-ZLAF89L,dji_target,1.953750,32.308790,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZLAF89LA,H-ZLAF89LA,dji_target,1.953750,32.276235,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZLAF90,H-ZLAF90,dji_target,2.000690,25.425752,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZLAF90A,H-ZLAF90A,dji_target,2.000690,25.458056,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZLAF91,H-ZLAF91,dji_target,2.001000,29.151347,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZLAF92,H-ZLAF92,dji_target,2.003300,28.316305,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZLAF92A,H-ZLAF92A,dji_target,2.003300,28.275906,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-ZLAF96,H-ZLAF96,dji_target,2.050900,26.985858,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-TF3L,H-TF3L,dji_target,1.613400,44.107022,UNKNOWN,glass,YES,rear_relay,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-TF5,H-TF5,dji_target,1.654100,39.539424,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-TF29,H-TF29,dji_target,1.770470,29.806014,UNKNOWN,glass,YES,flint_color_correction,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:D-FK61,D-FK61,dji_target,1.497000,81.611615,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:D-FK61-25,D-FK61-25,dji_target,1.496530,81.531772,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:D-FK61A,D-FK61A,dji_target,1.497000,81.605419,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:D-FK61A-25,D-FK61A-25,dji_target,1.496650,81.549116,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:D-FK95,D-FK95,dji_target,1.437800,94.523389,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:D-FK95-25,D-FK95-25,dji_target,1.437440,94.438841,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:D-QK3L,D-QK3L,dji_target,1.487490,70.440487,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:D-QK3L-25,D-QK3L-25,dji_target,1.486870,70.417086,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:D-K9,D-K9,dji_target,1.516330,64.058952,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:D-K9-25,D-K9-25,dji_target,1.515770,63.989637,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:D-K9GT,D-K9GT,dji_target,1.516330,64.058952,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:D-K9GT-25,D-K9GT-25,dji_target,1.515770,63.989637,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:D-K59,D-K59,dji_target,1.517600,63.499991,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:D-K59-25,D-K59-25,dji_target,1.516980,63.408500,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:D-PK3,D-PK3,dji_target,1.525000,70.370578,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:D-PK3-25,D-PK3-25,dji_target,1.523680,70.274839,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:D-ZPK1A,D-ZPK1A,dji_target,1.620870,63.828532,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:D-ZPK1A-25,D-ZPK1A-25,dji_target,1.619990,63.763831,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:D-ZPK3,D-ZPK3,dji_target,1.594190,67.295385,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:D-ZPK3-25,D-ZPK3-25,dji_target,1.593270,67.226420,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:D-ZPK5,D-ZPK5,dji_target,1.592800,68.342024,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:D-ZPK5-25,D-ZPK5-25,dji_target,1.592160,68.281511,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:D-ZPK7,D-ZPK7,dji_target,1.569070,71.304254,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:D-ZPK7-25,D-ZPK7-25,dji_target,1.568540,71.235367,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:D-ZK2,D-ZK2,dji_target,1.583130,59.381686,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:D-ZK2-25,D-ZK2-25,dji_target,1.582410,59.308255,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:D-ZK2A,D-ZK2A,dji_target,1.583130,59.539751,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:D-ZK2A-25,D-ZK2A-25,dji_target,1.582290,59.453631,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:D-ZK2L,D-ZK2L,dji_target,1.587000,59.600321,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:D-ZK2L-25,D-ZK2L-25,dji_target,1.586250,59.524868,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:D-ZK3,D-ZK3,dji_target,1.589130,61.152901,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:D-ZK3-25,D-ZK3-25,dji_target,1.588330,61.284362,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
